1,22.83,1005.88,-0.12,000.38:000.88:000.14,400,0,0.0
2,22.83,1005.88,-0.11,000.38:000.88:000.15,400,0,0.0
3,22.83,1005.87,-0.09,000.38:000.88:000.15,400,0,0.0
4,22.83,1005.88,-0.12,000.38:000.88:000.14,407,0,0.0
5,22.82,1005.88,-0.11,000.38:000.87:000.14,400,0,0.0
6,22.82,1005.88,-0.14,000.38:000.88:000.14,407,0,0.0
7,22.82,1005.87,-0.09,000.38:000.88:000.15,412,0,0.0
8,22.82,1005.87,-0.04,000.38:000.88:000.14,407,0,0.0
9,22.83,1005.87,-0.06,000.38:000.88:000.14,404,0,0.0
10,22.83,1005.87,-0.07,000.38:000.87:000.14,412,0,0.0
11,22.83,1005.87,-0.09,000.38:000.88:000.14,409,0,0.0
12,22.83,1005.88,-0.1,000.38:000.88:000.14,402,0,0.0
13,22.83,1005.87,-0.07,000.38:000.88:000.15,403,0,0.0
14,22.83,1005.87,-0.06,000.38:000.88:000.15,401,0,0.0
15,22.83,1005.87,-0.03,000.38:000.87:000.15,407,0,0.0
16,22.83,1005.86,0.02,000.38:000.88:000.15,406,0,0.0
17,22.84,1005.86,-0.01,000.38:000.88:000.14,400,0,0.0
18,22.84,1005.86,0.03,000.38:000.88:000.14,400,0,0.0
19,22.84,1005.86,0.01,000.37:000.88:000.15,400,0,0.0
20,22.84,1005.87,-0.08,000.38:000.88:000.14,400,0,0.0
21,22.84,1005.88,-0.11,000.38:000.88:000.15,400,0,0.0
22,22.84,1005.87,-0.09,000.38:000.88:000.14,404,0,0.0
23,22.84,1005.87,-0.08,000.38:000.88:000.15,425,3,0.0
24,22.84,1005.87,-0.08,000.38:000.88:000.15,444,3,0.0
25,22.84,1005.88,-0.13,000.38:000.88:000.14,458,0,0.0
26,22.84,1005.89,-0.18,000.38:000.88:000.15,475,0,0.0
27,22.84,1005.89,-0.18,000.38:000.88:000.14,496,6,0.0
28,22.84,1005.89,-0.2,000.38:000.88:000.14,517,11,0.0
29,22.84,1005.88,-0.14,000.38:000.88:000.15,529,10,0.0
30,22.84,1005.89,-0.18,000.38:000.88:000.14,534,16,0.0
31,22.84,1005.88,-0.16,000.38:000.88:000.13,546,21,0.0
32,22.85,1005.89,-0.18,000.38:000.88:000.14,537,18,0.0
33,22.85,1005.88,-0.11,000.38:000.88:000.14,524,26,0.0
34,22.85,1005.88,-0.14,000.38:000.87:000.14,517,26,0.0
35,22.85,1005.88,-0.12,000.38:000.88:000.14,498,22,0.0
36,22.85,1005.88,-0.13,000.38:000.88:000.15,478,19,0.0
37,22.85,1005.87,-0.05,000.38:000.88:000.15,462,18,0.0
38,22.85,1005.87,-0.06,000.38:000.88:000.15,437,13,0.0
39,22.85,1005.87,-0.03,000.38:000.88:000.14,407,5,0.0
40,22.85,1005.87,-0.02,000.38:000.88:000.15,407,1,0.0
41,22.85,1005.87,-0.07,000.37:000.87:000.14,400,0,0.0
42,22.84,1005.87,-0.09,000.38:000.88:000.15,400,0,0.0
43,22.84,1005.88,-0.16,000.38:000.88:000.14,400,0,0.0
44,22.84,1005.88,-0.12,000.38:000.88:000.12,400,0,0.0
45,22.84,1005.88,-0.1,000.38:000.88:000.14,400,0,0.0
46,22.84,1005.88,-0.11,000.38:000.87:000.14,400,0,0.0
47,22.84,1005.88,-0.12,000.38:000.88:000.14,400,0,0.0
48,22.84,1005.88,-0.17,000.38:000.88:000.14,400,0,0.0
49,22.84,1005.89,-0.2,000.38:000.88:000.15,400,0,0.0
50,22.84,1005.88,-0.17,000.38:000.88:000.14,403,1,0.0
51,22.84,1005.88,-0.14,000.38:000.88:000.14,412,0,0.0
52,22.85,1005.88,-0.11,000.38:000.88:000.14,411,0,0.0
53,22.85,1005.88,-0.1,000.38:000.88:000.15,421,0,0.0
54,22.85,1005.87,-0.09,000.38:000.88:000.14,426,0,0.0
55,22.85,1005.87,-0.09,000.38:000.88:000.14,428,0,0.0
56,22.85,1005.87,-0.03,000.38:000.88:000.15,440,0,0.0
57,22.85,1005.86,0.03,000.38:000.88:000.14,449,0,0.0
58,22.85,1005.86,0.01,000.38:000.87:000.15,453,3,0.0
59,22.85,1005.86,-0.0,000.38:000.88:000.14,466,8,0.0
60,22.85,1005.86,-0.0,000.37:000.88:000.14,473,1,0.0
61,22.85,1005.86,0.03,000.38:000.87:000.13,479,0,0.0
62,22.85,1005.86,0.02,000.38:000.88:000.14,490,5,0.0
63,22.85,1005.86,0.05,000.38:000.87:000.14,485,0,0.0
64,22.85,1005.86,0.04,000.38:000.87:000.14,484,2,0.0
65,22.85,1005.87,-0.01,000.37:000.88:000.14,472,0,0.0
66,22.85,1005.87,-0.03,000.38:000.88:000.14,471,0,0.0
67,22.85,1005.87,-0.03,000.38:000.87:000.14,465,3,0.0
68,22.85,1005.87,-0.07,000.37:000.87:000.14,453,0,0.0
69,22.85,1005.86,0.01,000.38:000.87:000.14,455,0,0.0
70,22.85,1005.86,0.01,000.39:000.88:000.14,444,0,0.0
71,22.85,1005.86,0.03,000.38:000.87:000.14,444,1,0.0
72,22.85,1005.86,0.06,000.38:000.87:000.15,445,0,0.0
73,22.85,1005.86,0.06,000.38:000.88:000.14,432,0,0.0
74,22.85,1005.86,0.01,000.38:000.88:000.14,427,0,0.0
75,22.85,1005.86,0.02,000.38:000.88:000.13,430,0,0.0
76,22.85,1005.87,-0.02,000.38:000.88:000.14,437,0,0.0
77,22.85,1005.86,0.01,000.38:000.88:000.15,436,1,0.0
78,22.85,1005.86,0.06,000.38:000.88:000.14,423,0,0.0
79,22.85,1005.86,0.04,000.38:000.88:000.14,417,0,0.0
80,22.85,1005.86,0.04,000.38:000.87:000.15,410,0,0.0
81,22.85,1005.86,0.03,000.38:000.88:000.15,404,0,0.0
82,22.85,1005.86,0.06,000.38:000.88:000.14,400,0,0.0
83,22.85,1005.86,0.06,000.38:000.88:000.14,401,0,0.0
84,22.85,1005.85,0.13,000.38:000.88:000.14,400,0,0.0
85,22.85,1005.85,0.11,000.38:000.88:000.15,400,0,0.0
86,22.85,1005.86,0.07,000.38:000.88:000.15,400,0,0.0
87,22.85,1005.86,0.02,000.38:000.88:000.15,400,0,0.0
88,22.85,1005.86,-0.0,000.38:000.88:000.16,400,2,0.0
89,22.85,1005.86,0.01,000.38:000.88:000.15,402,0,0.0
90,22.85,1005.86,0.01,000.38:000.88:000.14,400,0,0.0
91,22.85,1005.86,0.01,000.38:000.88:000.15,400,1,0.0
92,22.85,1005.86,0.01,000.37:000.88:000.15,400,0,0.0
93,22.85,1005.87,-0.02,000.37:000.88:000.15,400,0,0.0
94,22.85,1005.86,0.06,000.38:000.88:000.16,403,0,0.0
95,22.84,1005.85,0.09,000.38:000.88:000.15,400,0,0.0
96,22.84,1005.86,0.04,000.38:000.88:000.14,412,5,0.0
97,22.84,1005.87,-0.05,000.38:000.88:000.15,411,0,0.0
98,22.84,1005.87,-0.07,000.38:000.88:000.14,433,5,0.0
99,22.84,1005.87,-0.02,000.38:000.88:000.14,469,3,0.0
100,22.84,1005.87,-0.04,000.38:000.88:000.14,492,0,0.0
101,22.84,1005.86,0.01,000.38:000.88:000.14,515,8,0.0
102,22.84,1005.86,0.02,000.38:000.88:000.14,542,18,0.0
103,22.84,1005.87,-0.02,000.38:000.88:000.14,553,22,0.0
104,22.84,1005.87,-0.07,000.38:000.88:000.14,536,19,0.0
105,22.84,1005.87,-0.07,000.38:000.88:000.15,527,24,0.0
106,22.84,1005.88,-0.1,000.38:000.88:000.14,529,26,0.0
107,22.84,1005.87,-0.09,000.38:000.88:000.15,529,31,0.0
108,22.84,1005.88,-0.12,000.38:000.88:000.14,521,25,0.0
109,22.84,1005.87,-0.08,000.38:000.88:000.14,512,26,0.0
110,22.84,1005.88,-0.11,000.38:000.88:000.15,518,31,0.0
111,22.84,1005.87,-0.03,000.38:000.88:000.14,509,30,0.0
